Longitude,Latitude,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,CITY,STATE_NAME,PHONE,DISTRICT,FAC_CLASS,NEWSTA,RESOLUTION,WEBSITE,PIN,MAJOR,MINOR
-122.3365673,47.61623465,33,650067,840695,65,Seattle Police West Precinct,SPD West Precinct,810 Virginia St,98121,Seattle,WA,(206) 684-8917,SE,0,Y,placed manually/QC- moved parcel south onto Virginia,http://www.seattle.gov/police/about-us/police-locations/west-precinct,660000560,66000,560
-122.2933967,47.53858614,34,650068,486615,65,Seattle Police South Precinct,SPD South Precinct,3001 S Myrtle St,98108,Seattle,WA,(206) 386-1850,SE,0,Y,placed manually/QC,http://www.seattle.gov/police/about-us/police-locations/south-precinct,7857002115,785700,2115
-122.2121367,47.63170575,35,650042,113972,65,Clyde Hill Police Department,Clyde Hill PD,9605 NE 24th St,98004,Clyde Hill,WA,(425) 454-7187,CH,0,Y,"placed manually/QC, new website",http://www.clydehill.org/departments/police/,8086000380,808600,380
-122.3194531,47.40538337,36,650043,380127,65,Des Moines Police Department,Des Moines PD,21900 11th Ave S,98198,Des Moines,WA,(206) 878-3301,DM,0,Y,"placed manually/QC, new website",http://www.desmoineswa.gov/189/Police,822049035,82204,9035
-121.9823594,47.20040873,37,650046,892537,65,WSP District 2 Enumclaw Detatchment,WSP District 2 Enumclaw Detach,333 Griffin Ave,98022,Enumclaw,WA,(360) 825-6154,EN,0,Y,placed manually/QC,http://www.wsp.wa.gov/traveler/d2detach.htm,2420069274,242006,9274
-122.0342039,47.53034698,38,650048,571758,65,Issaquah Police Department,Issaquah PD,130 E Sunset Way,98027,Issaquah,WA,(425) 837-3200,IS,0,Y,"placed manually/QC- moved south onto Sunset Way, new website",http://www.ci.issaquah.wa.us/index.aspx?NID=306,2724069035,272406,9035
-122.2775698,47.75390893,39,650055,94150,65,Lake Forest Park Police Department,Lake Forest Park PD,17425 Ballinger Way NE,98155,Lake Forest Park,WA,(206) 364-8216,LF,0,Y,"placed manually/QC, new website",http://www.cityoflfp.com/index.aspx?nid=167,4019301663,401930,1663
-122.162232,47.7529058,40,650076,81913,65,Woodinville Police Department,Woodinville PD,17301 133rd Ave NE,98072,Woodinville,WA,(425) 877-2279,WO,0,Y,placed manually/QC,http://www.ci.woodinville.wa.us/Cityhall/Police.asp,1026059025,102605,9025
-122.3305103,47.60265088,41,650083,833489,65,KC Patrol Operations Division,KC Patrol Operations Division,516 3rd Ave,98104,Seattle,WA,(206) 263-2550,KC,0,Y,"added 9/04, new website",http://www.kingcounty.gov/depts/sheriff/about-us/enforcement/patrol.aspx,942000860,94200,860
-122.2053607,47.76151905,42,650041,177055,65,Bothell Police Department,Bothell PD,18410 101st Ave NE,98011,Bothell,WA,(425) 486-1254,BO,0,Y,placed manually/QC,http://www.ci.bothell.wa.us/266/Police-Department,967000310,96700,310
-122.3265633,47.30396788,43,650047,712916,65,Federal Way Police Department,Federal Way PD,33325 8th Ave S,98003,Federal Way,WA,(253) 835-6700,FW,0,Y,placed manually/QC- moved location across street after calling station,http://www.cityoffederalway.com/police,9265000290,926500,290
-122.3376399,47.64569144,44,650079,746418,65,Seattle Police Harbor Patrol Office,SPD Harbor Patrol,1717 N Northlake Pl,98103,Seattle,WA,(206) 684-4071,SE,0,Y,placed manually/QC,http://www.seattle.gov/police/about-us/about-policing/harbor-patrol,4088801930,408880,1930
-122.2383687,47.38480243,45,650082,803272,65,KC Criminal Investigation Division,KC Criminal Investigation Division,401 4th Ave N,98032,Kent,WA,(206) 263-2100,KC,0,Y,"added 9/04, new website",http://www.kingcounty.gov/depts/sheriff/about-us/enforcement/investigations.aspx,2422049111,242204,9111
-122.3421781,47.469333,46,650002,128,65,Burien Police Department,Burien PD,14905 6th Ave SW,98166,Burien,WA,(206) 477-2200,KC,1,E,moved to current location/QC- changed PIN from 0321049126,http://www.burienwa.gov/index.aspx?nid=91,3207200120,320720,120
-122.0495863,47.39084344,47,650005,9258,65,Maple Valley Police Department,Maple Valley PD,22017 SE Wax Rd,98038,Maple Valley,WA,(425) 413-5158,MV,3,E,moved manually/QC,http://www.maplevalleywa.gov/departments-services/police-department,1622069126,162206,9126
-122.0368039,47.60132348,48,650011,375887,65,KC Precinct 2 Headquarters,KC Precinct 2 HQ,801 228th Ave SE,98075,Sammamish,WA,(206) 263-9133,SM,3,Y,"placed manualy/QC- changed zip from 98011, added new location",http://www.kingcounty.gov/depts/sheriff/police-precincts/precinct2.aspx,424069255,42406,9255
-122.3009146,47.44241061,49,650021,894588,65,Port of Seattle Police,Port of Sea PD,17801 International Blvd,98158,SeaTac,WA,(206) 787-3490,ST,3,E,"moved to current location/QC- changed addr, name, and moved inside airport, new web site",http://www.portseattle.org/About/Public-Safety/Police-Department/Pages/default.aspx,2823049016,282304,9016
-121.986441,47.74046851,50,650044,125059,65,Duvall Police Department,Duvall PD,26225 NE Stephens St,98019,Duvall,WA,(425) 788-1519,DU,0,Y,placed manually/QC- moved south to 15500 block,http://www.duvallwa.gov/140/Police-Department,1326069118,132606,9118
-121.9896945,47.20467531,51,650045,392576,65,Enumclaw Police Department,Enumclaw Police Department,1705 Wells St,98022,Enumclaw,WA,(360) 825-3505 ,EN,0,Y,placed manually/QC,http://www.cityofenumclaw.net/149/Police,8004600189,800460,189
-122.3291886,47.60420566,52,650063,834655,65,Seattle Police Headquarters,SPD HQ,610 5th Ave,98104,Seattle,WA,(206) 625-5011,SE,0,Y,"placed manually/QC- changed address from 3rd Ave., new website",http://www.seattle.gov/police/about-us/police-locations/police-hq,942000750,94200,750
-122.2555182,47.46320552,53,650073,607737,65,Tukwila Police Department,Tukwila PD,6200 Southcenter Blvd,98188,Tukwila,WA,(206) 433-1808,TU,0,Y,"placed manually/QC- moved one parcel west towards 62nd Ave S, new website",http://www.tukwilawa.gov/departments/police/,3597000282,359700,282
-122.286344,47.47084681,54,650075,613808,65,Tukwila Police Neighborhood Resource Center,Tukwila PD Nbrhd Resource Center,14661 Tukwila International Blvd,98168,Tukwila,WA,(206) 243-6506,TU,0,Y,"placed manually/QC- unconfirmed parcel, new website",http://www.tukwilawa.gov/departments/police/,40000995,4000,995
-122.2476799,47.2649118,55,650060,729218,65,Pacific Police Department,Pacific PD,133 3rd Ave SE,98047,Pacific,WA,(253) 929-1130,PA,0,Y,placed manually/QC- changed address from 100,http://www.pacificwa.gov/emergency_services/police.htm,3355900475,335590,475
-122.309835,47.49652411,56,650007,528847,65,Burien City Hall North Storefront,Burien City Hall North,11846 Des Moines Memorial Dr S,98168,Burien,WA,(206) 296-0387,SE,6,E,"moved manually/unsure if correct parcel/QC- unconf. parcel, moved across street",http://www.kingcounty.gov/depts/sheriff/police-precincts/precinct4.aspx,985000475,98500,475
-122.2712235,47.33516989,57,650012,691182,65,Lake Dolloff Storefront,Lake Dolloff,4950 S 298th St,98001,Unincorporated King County,WA,(206) 477-1242,FW,6,E,moved to current location/occupies same parcel as firestation/QC'd,http://www.kingcounty.gov/depts/sheriff/police-precincts/precinct4.aspx,321049126,32104,9126
-122.1873176,47.38182413,58,650036,876704,65,Police-Fire Training Center,Police-Fire TC,24523 116th Ave SE,98030,Kent,WA,(253) 856-5853,KE,0,Y,"placed with fire station (located together )/QC- changed address from 24611, name, new website",http://www.kentwa.gov/residents/public-safety/police-department/community-police-academy,2022059126,202205,9126
-122.237056,47.3806906,59,650053,801805,65,Kent Police Department,Kent PD,232 4th Ave S,98032,Kent,WA,(253) 856-5800,KE,0,Y,"placed manually/QC, new website",http://kentwa.gov/police/,9825700835,982570,835
-122.3454744,47.51492354,60,650087,869391,65,Greenbridge Storefront,Greenbridge,9839 8th Ave SW,98106,Unincorporated King County,WA,(206) 296-3332,KC,6,Y,? Occupies same parcel as KC Housing Authority apt complex,http://www.kingcounty.gov/depts/sheriff/police-precincts/precinct4.aspx,2895800240,289580,240
-122.2104767,47.57757973,61,650056,187602,65,Mercer Island Police Station,Mercer Island PD,9611 SE 36th St,98040,Mercer Island,WA,(206) 275-7610,MI,0,Y,placed manually/QC,http://www.mercergov.org/SectionIndex.asp?SectionID=84,2655500075,265550,75
-122.1851682,47.70669856,62,650054,1016250,65,Kirkland Police Department,Kirkland PD,11750 NE 118th St,98033,Kirkland,WA,(425) 587-3400,KI,0,Y,placed manually/QC,http://www.kirklandwa.gov/depart/PD.htm,6209300010,620930,10
-122.3164506,47.65233523,63,650069,1135638,65,UW Police Department,UW PD,3939 15th Ave NE,98105,Seattle,WA,(206) 543-0507,SE,0,Y,placed manually/QC,http://police.uw.edu/,1142004555,114200,4555
-122.1144426,47.25250653,64,650085,807384,65,Muckleshoot Tribe Police Department,Muckleshoot PD,38903 172nd Ave SE,98092,Unincorporated King County,WA,(253) 876-3246,AU,0,Y,"addeed 9/04, new website, address",http://www.muckleshoot.nsn.us/services/muckleshoot-police-department.aspx,120059057,12005,9057
